"","MA1","MA2","QU1","QU2","QY3","QY4","TH1","TH2","UA1","UA2","UA4","VZ6","VZ8","VZ9","WU1","WU3","WU4","WV1","WV3","WV4","WZ1","WZ3","WZ4","XE1","XE3","XE6","XR1","XR3","XR4","XZ1","XZ3","XZ4","YA1","YA3","YA4","YM1","YM4"
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Cytophagia;D_3__Order II;D_4__Rhodothermaceae;D_5__Salinibacter",1184,452,380,7948,698,2620,6951,1854,2245,4828,12776,154,2029,529,261,5137,3953,1014,1340,2350,1875,4676,5182,10377,596,8848,265,3286,1829,7953,3607,2614,1621,4343,8323,5022,2892
"D_0__Bacteria;D_1__Bacteroidetes;D_2__VC2.1 Bac22;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium",4,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Candidate division TM7;D_2__Unknown Class;D_3__Unknown Order;D_4__Unknown Family;D_5__Candidatus Saccharimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
"D_0__Bacteria;D_1__Candidate division TM7;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium",0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;D_3__Camelina sativa;D_4__Camelina sativa;D_5__Camelina sativa",0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;D_3__Fraxinus excelsior (European ash);D_4__Fraxinus excelsior (European ash);D_5__Fraxinus excelsior (European ash)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;D_3__uncultured cyanobacterium;D_4__uncultured cyanobacterium;D_5__uncultured cyanobacterium",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Deferribacteres;D_2__Deferribacteres;D_3__Deferribacterales;D_4__Deferribacteraceae;D_5__Mucispirillum",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Alicyclobacillaceae;D_5__Alicyclobacillus",26,43,329,344,232,236,566,144,64,225,734,14,61,35,10,220,117,37,22,66,80,153,289,770,226,607,11,159,163,698,311,321,79,415,666,195,128
"D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus",0,0,11,2,4,7,0,10,0,0,0,0,0,0,0,3,2,0,0,0,0,0,10,0,3,0,0,4,0,1,0,0,0,2,1,4,3
"D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Family XI;D_5__Gemella",0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,1,48,41,1,0,0,0,0,0,0,12,0,0,0,0,1,0,0,33,30
"D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Family XII;D_5__Exiguobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Planococcaceae;D_5__Planomicrobium",0,0,13,1,26,18,0,24,0,0,0,0,0,0,0,2,8,1,0,0,0,0,5,0,13,0,0,1,0,1,0,0,0,12,0,0,0
